Ag10C2F8_407646.cif,3.294992
Ag1Al1Cs1F6_155159.cif,2.143879
Ag1Al1O2_300020.cif,2.884742
Ag1Al1O2_99688.cif,2.390096
Ag1Al1S2_25356.cif,2.835937
Ag1Al1S2_28744.cif,3.055806
Ag1Al1Se2_28745.cif,2.166236
Ag1Al1Te2_28746.cif,1.838293
Ag1As1Ba1_8278.cif,0.520156
Ag1As1Ca1_10017.cif,0.161867
Ag1As1Cs2S4_55368.cif,2.587537
Ag1As1F10Xe2_71119.cif,3.551059
Ag1As1F6Se3_418700.cif,2.687754
Ag1As1Hg1S3_31194.cif,1.97659
Ag1As1Hg2O4_413087.cif,1.692346
Ag1As1K2_1154.cif,1.734808
Ag1As1Na2_49007.cif,1.229253
Ag1As1Pb1S3_26835.cif,1.935167
Ag1As1S1_604740.cif,0.476823
Ag1As1S2_18101.cif,2.332249
Ag1As1Se1_604753.cif,0.077651
Ag1As1Se2_20087.cif,0.324716
Ag1As1Sr1_49742.cif,0.350938
Ag1As3Cu4O12_61036.cif,3.04123
Ag1As3H2O9_172990.cif,2.250247
Ag1Au1Ba4O6_72329.cif,2.980427
Ag1Au1Cl4_1152.cif,2.014716
Ag1Au1Cl6Cs2_26162.cif,1.507505
Ag1Au1F4_90071.cif,2.520362
Ag1Au1Te4_24646.cif,0.021204
Ag1Au2F8_85416.cif,2.060208
Ag1Au3I8Rb2_32031.cif,1.360323
Ag1B3O5_428142.cif,3.945052
Ag1Ba1F1Se1_183714.cif,2.234553
Ag1Ba1F1Te1_419382.cif,2.348404
Ag1Ba1La1Se3_659172.cif,2.326826
Ag1Ba1P1_41706.cif,0.710516
Ag1Ba1S3Sb1_195746.cif,2.064838
Ag1Ba1Sb1_56981.cif,0.519553
Ag1Ba1Se3Y1_104237.cif,2.136067
Ag1Ba1Te3Y1_88717.cif,1.429816
Ag1Ba2In1S4_183654.cif,2.643217
Ag1Bi1Br6Cs2_239875.cif,2.162012
Ag1Bi1Ca1_416283.cif,0.236947
Ag1Bi1Cl2S1_413290.cif,1.995081
Ag1Bi1Cl6Cs2_239874.cif,2.849919
Ag1Bi1Cr2O8_8224.cif,2.357544
Ag1Bi1Cr4O14_14233.cif,3.013278
Ag1Bi1K2_1156.cif,1.203609
Ag1Bi1O8W2_190732.cif,3.797539
Ag1Bi1P2S6_170639.cif,1.97762
Ag1Bi1P2Se6_170640.cif,2.077407
Ag1Bi1S2_44340.cif,1.090961
Ag1Bi1Se2_26518.cif,0.427797
Ag1Bi2Cl1S3_412372.cif,1.484521
Ag1Bi2Cl1Se3_412371.cif,1.103107
Ag1Bi2F12_79879.cif,2.450174
Ag1Bi3S5_171229.cif,1.012792
Ag1Br13Mo6_412903.cif,3.111448
Ag1Br1H3N1_169137.cif,3.95534
Ag1Br1Hg1S1_411773.cif,2.331397
Ag1Br1O1Pb1_33913.cif,1.068393
